BeiJingShi BJS
DongChengQu DCQ
XiChengQu XCQ
ChaoYangQu CYQ
FengTaiQu FTQ
ShiJingShanQu SJSQ
HaiDianQu HDQ
MenTouGouQu MTGQ
FangShanQu FSQ
TongZhouQu TZQ
ShunYiQu SYQ
ChangPingQu CPQ
DaXingQu DXQ
HuaiRouQu HRQ
PingGuQu PGQ
MiYunQu MYQ
YanQingQu YQQ
TianJinShi TJS
HePingQu HPQ
HeDongQu HDQ
HeXiQu HXQ
NanKaiQu NKQ
HeBeiQu HBQ
HongQiaoQu HQQ
DongLiQu DLQ
XiQingQu XQQ
JinNanQu JNQ
BeiChenQu BCQ
WuQingQu WQQ
BaoDiQu BDQ
BinHaiXinQu BHXQ
NingHeQu NHQ
JingHaiQu JHQ
JiZhouQu JZQ
HeBeiSheng HBS
ShiJiaZhuangShi SJZS
ChangAnQu CAQ
QiaoXiQu QXQ
XinHuaQu XHQ
JingXingKuangQu JXKQ
YuHuaQu YHQ
GaoChengQu GCQ
LuQuanQu LQQ
LuanChengQu LCQ
JingXingXian JXX
ZhengDingXian ZDX
XingTangXian XTX
LingShouXian LSX
GaoYiXian GYX
ShenZeXian SZX
ZanHuangXian ZHX
WuJiXian WJX
PingShanXian PSX
YuanShiXian YSX
ZhaoXian ZX
XinJiShi XJS
JinZhouShi JZS
XinLeShi XLS
TangShanShi TSS
LuNanQu LNQ
LuBeiQu LBQ
GuYeQu GYQ
KaiPingQu KPQ
FengNanQu FNQ
FengRunQu FRQ
CaoFeiDianQu CFDQ
LuanXian LX
LuanNanXian LNX
LeTingXian LTX
QianXiXian QXX
YuTianXian YTX
ZunHuaShi ZHS
QianAnShi QAS
QinHuangDaoShi QHDS
HaiGangQu HGQ
ShanHaiGuanQu SHGQ
BeiDaiHeQu BDHQ
FuNingQu FNQ
QingLongManZuZiZhiXian QLMZZZX
ChangLiXian CLX
LuLongXian LLX
HanDanShi HDS
HanShanQu HSQ
CongTaiQu CTQ
FuXingQu FXQ
FengFengKuangQu FFKQ
FeiXiangQu FXQ
YongNianQu YNQ
LinZhangXian LZX
ChengAnXian CAX
DaMingXian DMX
SheXian SX
CiXian CX
QiuXian QX
JiZeXian JZX
GuangPingXian GPX
GuanTaoXian GTX
WeiXian WX
QuZhouXian QZX
WuAnShi WAS
XingTaiShi XTS
QiaoDongQu QDQ
QiaoXiQu QXQ
XingTaiXian XTX
LinChengXian LCX
NeiQiuXian NQX
BaiXiangXian BXX
LongYaoXian LYX
RenXian RX
NanHeXian NHX
NingJinXian NJX
JuLuXian JLX
XinHeXian XHX
GuangZongXian GZX
PingXiangXian PXX
WeiXian WX
QingHeXian QHX
LinXiXian LXX
NanGongShi NGS
